Name,WorkId,DisplayName,WorkCategory,TotalWork,BaseWorkRate,MaxWorkers,bPageSpecificJob,SiteTag,Costs,Rewards,PrimarySkillId,XPPerSecond,XPFactor
Research_IronDeepMining,Research_IronDeepMining,Iron Deep Mining,Research,40,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=110),(ResourceId=""Iron_Attribute"",Amount=5),(ItemId=""CopperPlate"",Amount=8))",(),Research,1.25,1.06
Research_CoalDeepMining,Research_CoalDeepMining,Coal Deep Mining,Research,40,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=110),(ResourceId=""Coal_Attribute"",Amount=5),(ItemId=""CopperPlate"",Amount=8))",(),Research,1.25,1.06
Research_SoilProcessing,Research_SoilProcessing,Soil Processing,Research,16,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=30),(ResourceId=""Soil_Attribute"",Amount=3))",(),Research,1.00,1.00
Research_Claycraft,Research_Claycraft,Claycraft,Research,22,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=45),(ResourceId=""Soil_Attribute"",Amount=4),(ResourceId=""Stone"",Amount=12))",(),Research,1.05,1.01
Research_EarlyToolmaking,Research_EarlyToolmaking,Early Toolmaking,Research,20,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=40),(ResourceId=""Wood"",Amount=15),(ResourceId=""Stone"",Amount=15))",(),Research,1.05,1.01
Research_Woodworking,Research_Woodworking,Woodworking,Research,24,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=55),(ResourceId=""Wood_Attribute"",Amount=5),(ResourceId=""Wood"",Amount=25))",(),Research,1.10,1.02
Research_Ceramics,Research_Ceramics,Ceramics,Research,30,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=70),(ResourceId=""Soil_Attribute"",Amount=5),(ResourceId=""Stone_Attribute"",Amount=3),(ResourceId=""Stone"",Amount=25))",(),Research,1.15,1.03
Research_CopperMetallurgy,Research_CopperMetallurgy,Copper Metallurgy,Research,46,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=120),(ResourceId=""Copper_Attribute"",Amount=6),(ResourceId=""Copper"",Amount=18),(ResourceId=""Stone"",Amount=30))",(),Research,1.30,1.06
Research_PrecisionEngineering,Research_PrecisionEngineering,Precision Engineering,Research,54,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=150),(ResourceId=""Copper_Attribute"",Amount=6),(ItemId=""CopperIngot"",Amount=8))",(),Research,1.35,1.07
Research_GoldTheory,Research_GoldTheory,Gold Theory,Research,58,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=170),(ResourceId=""Gold_Attribute"",Amount=6),(ResourceId=""Gold"",Amount=8))",(),Research,1.40,1.08
Research_AppliedMedicine,Research_AppliedMedicine,Applied Medicine,Research,48,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=140),(ResourceId=""Copper_Attribute"",Amount=4),(ItemId=""ClayBowl"",Amount=4))",(),Research,1.30,1.06
Research_PortalObservation,Research_PortalObservation,Portal Observation,Research,62,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=190),(ResourceId=""Copper_Attribute"",Amount=5),(ResourceId=""Gold_Attribute"",Amount=3),(ItemId=""ResearchProbe"",Amount=1))",(),Research,1.45,1.08
Research_Ironworking,Research_Ironworking,Ironworking,Research,72,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=230),(ResourceId=""Iron_Attribute"",Amount=6),(ResourceId=""Iron"",Amount=20),(ResourceId=""Coal"",Amount=15))",(),Research,1.55,1.10
Research_CoalCoking,Research_CoalCoking,Coal Coking,Research,62,1,3,FALSE,Research,"((ResourceId=""EP"",Amount=200),(ResourceId=""Coal_Attribute"",Amount=6),(ResourceId=""Coal"",Amount=25),(ResourceId=""Stone"",Amount=30))",(),Research,1.50,1.09
Research_Steelmaking,Research_Steelmaking,Steelmaking,Research,88,1,4,FALSE,Research,"((ResourceId=""EP"",Amount=300),(ResourceId=""Iron_Attribute"",Amount=5),(ResourceId=""Coal_Attribute"",Amount=5),(ItemId=""IronIngot"",Amount=12))",(),Research,1.65,1.12
Research_IndustrialCrafting,Research_IndustrialCrafting,Industrial Crafting,Research,98,1,4,FALSE,Research,"((ResourceId=""EP"",Amount=340),(ItemId=""SteelIngot"",Amount=10),(ItemId=""IronGear"",Amount=6))",(),Research,1.70,1.13
Research_Fortification,Research_Fortification,Fortification Engineering,Research,82,1,4,FALSE,Research,"((ResourceId=""EP"",Amount=280),(ItemId=""SteelIngot"",Amount=8),(ItemId=""IronPlate"",Amount=12))",(),Research,1.60,1.11
Research_PetroleumExtraction,Research_PetroleumExtraction,Petroleum Extraction,Research,118,1,4,FALSE,Research,"((ResourceId=""EP"",Amount=420),(ResourceId=""Petroleum_Attribute"",Amount=6),(ItemId=""SteelBeam"",Amount=8))",(),Research,1.85,1.16
Research_PetroleumRefining,Research_PetroleumRefining,Petroleum Refining,Research,132,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=480),(ResourceId=""Petroleum_Attribute"",Amount=6),(ResourceId=""Petroleum"",Amount=20),(ItemId=""IronPlate"",Amount=15))",(),Research,1.95,1.18
Research_PowerEngineering,Research_PowerEngineering,Power Engineering,Research,145,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=540),(ItemId=""RefinedFuel"",Amount=15),(ItemId=""CopperWire"",Amount=20),(ItemId=""IronGear"",Amount=8))",(),Research,2.05,1.20
Research_Automation,Research_Automation,Automation,Research,160,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=620),(ItemId=""BatteryCell"",Amount=4),(ItemId=""SteelIngot"",Amount=12),(ItemId=""CopperWire"",Amount=20))",(),Research,2.15,1.22
Research_EidosTheory,Research_EidosTheory,Eidos Theory,Research,185,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=700),(ResourceId=""Eidos_Attribute"",Amount=6),(ResourceId=""Eidos_Stone"",Amount=12),(ItemId=""GildedResearchSeal"",Amount=2))",(),Research,2.25,1.24
Research_EidosRefinement,Research_EidosRefinement,Eidos Refinement,Research,210,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=800),(ResourceId=""Eidos_Attribute"",Amount=8),(ResourceId=""Eidos_Stone"",Amount=20),(ItemId=""PlastilContainer"",Amount=4))",(),Research,2.35,1.26
Research_PortalEngineering,Research_PortalEngineering,Portal Engineering,Research,240,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=950),(ResourceId=""Eidos_Attribute"",Amount=8),(ItemId=""EidosCrystal"",Amount=12),(ItemId=""SteelBeam"",Amount=10))",(),Research,2.50,1.28
Research_AttributeEngineering,Research_AttributeEngineering,Attribute Engineering,Research,260,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=1100),(ResourceId=""Eidos_Attribute"",Amount=10),(ItemId=""EidosCrystal"",Amount=15),(ItemId=""GoldIngot"",Amount=8))",(),Research,2.60,1.30
Research_ReturnNavigation,Research_ReturnNavigation,Return Navigation,Research,250,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=1050),(ResourceId=""Eidos_Attribute"",Amount=9),(ItemId=""EidosCrystal"",Amount=10),(ItemId=""PlastilSheet"",Amount=10))",(),Research,2.55,1.29
Research_LibraryAuthority,Research_LibraryAuthority,Library Authority,Research,320,1,5,FALSE,Research,"((ResourceId=""EP"",Amount=1400),(ResourceId=""Eidos_Attribute"",Amount=12),(ItemId=""EidosBattery"",Amount=3),(ItemId=""AttributeTuner"",Amount=1))",(),Research,2.80,1.35
Test_PageSpecific,Test_PageSpecific,Test Individual Work,Craft,15,1,1,TRUE,None,(),(),Construction,1,1
Construct_SoilSifter,Construct_SoilSifter,Construct Soil Sifter,Construction,10,1,2,FALSE,Build,"((ItemId=""SoilBlock"",Amount=20),(ItemId=""Clay"",Amount=4),(ResourceId=""EP"",Amount=5))",(),Construction,1,1
Construct_ClayShapingBench,Construct_ClayShapingBench,Construct Clay Shaping Bench,Construction,10,1,2,FALSE,Build,"((ItemId=""SoilBlock"",Amount=15),(ItemId=""Clay"",Amount=8),(ResourceId=""EP"",Amount=5))",(),Construction,1,1
Construct_EarthenStorehouse,Construct_EarthenStorehouse,Construct Earthen Storehouse,Construction,18,1,2,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=20),(ItemId=""Clay"",Amount=8),(ResourceId=""EP"",Amount=10))",(),Construction,1.2,1
Construct_EarthenDormitory,Construct_EarthenDormitory,Construct Earthen Dormitory,Construction,20,1,2,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=30),(ItemId=""Clay"",Amount=10),(ResourceId=""EP"",Amount=15))",(),Construction,1.2,1
Construct_EarthenHoldingCell,Construct_EarthenHoldingCell,Construct Earthen Holding Cell,Construction,18,1,2,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=25),(ItemId=""Clay"",Amount=12),(ResourceId=""EP"",Amount=15))",(),Construction,1.2,1
Construct_TabletDesk,Construct_TabletDesk,Construct Tablet Desk,Construction,12,1,1,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=8),(ItemId=""ClayTablet"",Amount=2),(ResourceId=""EP"",Amount=15))",(),Construction,1,1
Construct_EarthenWorkshop,Construct_EarthenWorkshop,Construct Earthen Workshop,Construction,18,1,2,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=20),(ItemId=""Clay"",Amount=12),(ResourceId=""EP"",Amount=20))",(),Construction,1.2,1
Construct_MudWall,Construct_MudWall,Construct Mud Wall,Construction,6,1,2,FALSE,Build,"((ItemId=""PackedSoilBlock"",Amount=10),(ItemId=""Clay"",Amount=5))",(),Construction,0.8,1
Construct_Lumberyard,Construct_Lumberyard,Construct Lumberyard,Construction,45,1,3,FALSE,Build,"((ResourceId=""Wood_Attribute"",Amount=10),(ResourceId=""Wood"",Amount=100),(ResourceId=""Stone"",Amount=50))",(),Construction,1.5,1.1
Construct_Sawmill,Construct_Sawmill,Construct Sawmill,Construction,25,1,2,FALSE,Build,"((ResourceId=""Wood"",Amount=50),(ResourceId=""Stone"",Amount=20),(ItemId=""StoneAxe"",Amount=1),(ResourceId=""EP"",Amount=35))",(),Construction,1.3,1
Construct_Kiln,Construct_Kiln,Construct Kiln,Construction,30,1,2,FALSE,Build,"((ResourceId=""Stone"",Amount=50),(ItemId=""UnfiredBrick"",Amount=15),(ResourceId=""Wood"",Amount=20),(ResourceId=""EP"",Amount=30))",(),Construction,1.3,1
Construct_WoodenDormitory,Construct_WoodenDormitory,Construct Wooden Dormitory,Construction,30,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=70),(ItemId=""WoodenPlank"",Amount=25),(ResourceId=""Stone"",Amount=10),(ResourceId=""EP"",Amount=35))",(),Construction,1.3,1
Construct_WoodenWarehouse,Construct_WoodenWarehouse,Construct Wooden Warehouse,Construction,35,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=80),(ItemId=""WoodenPlank"",Amount=30),(ResourceId=""Stone"",Amount=15),(ResourceId=""EP"",Amount=45))",(),Construction,1.4,1
Construct_WoodenKitchen,Construct_WoodenKitchen,Construct Wooden Kitchen,Construction,22,1,2,FALSE,Build,"((ResourceId=""Wood"",Amount=45),(ResourceId=""Stone"",Amount=20),(ItemId=""ClayBowl"",Amount=4),(ResourceId=""EP"",Amount=30))",(),Construction,1.2,1
Construct_StoneDormitory,Construct_StoneDormitory,Construct Stone Dormitory,Construction,45,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=90),(ItemId=""Mortar"",Amount=20),(ResourceId=""Wood"",Amount=35),(ResourceId=""EP"",Amount=60))",(),Construction,1.5,1.1
Construct_StoneWatchtower,Construct_StoneWatchtower,Construct Stone Watchtower,Construction,40,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=70),(ResourceId=""Wood"",Amount=50),(ItemId=""Mortar"",Amount=15),(ResourceId=""EP"",Amount=55))",(),Construction,1.5,1.1
Construct_StoneWall,Construct_StoneWall,Construct Stone Wall,Construction,12,1,2,FALSE,Build,"((ResourceId=""Stone"",Amount=30),(ItemId=""Mortar"",Amount=5))",(),Construction,1,1
Construct_WoodenWall,Construct_WoodenWall,Construct Wooden Wall,Construction,8,1,2,FALSE,Build,"((ResourceId=""Wood"",Amount=25),(ItemId=""WoodenPlank"",Amount=5))",(),Construction,0.9,1
Construct_StoneGate,Construct_StoneGate,Construct Stone Gate,Construction,20,1,2,FALSE,Build,"((ResourceId=""Stone"",Amount=50),(ResourceId=""Wood"",Amount=25),(ItemId=""Mortar"",Amount=10),(ResourceId=""EP"",Amount=20))",(),Construction,1.2,1
Construct_WoodenGate,Construct_WoodenGate,Construct Wooden Gate,Construction,15,1,2,FALSE,Build,"((ResourceId=""Wood"",Amount=40),(ItemId=""WoodenPlank"",Amount=10),(ResourceId=""EP"",Amount=15))",(),Construction,1.1,1
Construct_Smelter,Construct_Smelter,Construct Smelter,Construction,40,1,3,FALSE,Build,"((ResourceId=""Copper_Attribute"",Amount=10),(ResourceId=""Stone"",Amount=60),(ResourceId=""Wood"",Amount=30),(ItemId=""CopperIngot"",Amount=10),(ItemId=""Charcoal"",Amount=15),(ResourceId=""EP"",Amount=70))",(),Construction,1.5,1.1
Construct_PrecisionWorkshop,Construct_PrecisionWorkshop,Construct Precision Workshop,Construction,45,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=40),(ResourceId=""Stone"",Amount=30),(ItemId=""CopperPlate"",Amount=12),(ItemId=""CopperWire"",Amount=10),(ResourceId=""EP"",Amount=80))",(),Construction,1.5,1.1
Construct_Laboratory,Construct_Laboratory,Construct Laboratory,Construction,55,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=60),(ItemId=""CopperPlate"",Amount=15),(ItemId=""GoldIngot"",Amount=3),(ItemId=""ClayTablet"",Amount=10),(ResourceId=""EP"",Amount=120))",(),Construction,1.6,1.1
Construct_PortalObservatoryPost,Construct_PortalObservatoryPost,Construct Portal Observatory Post,Construction,45,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=50),(ResourceId=""Stone"",Amount=40),(ItemId=""CopperWire"",Amount=15),(ItemId=""ResearchProbe"",Amount=1),(ResourceId=""EP"",Amount=100))",(),Construction,1.5,1.1
Construct_CopperWall,Construct_CopperWall,Construct Copper Wall,Construction,18,1,2,FALSE,Build,"((ResourceId=""Stone"",Amount=20),(ItemId=""CopperPlate"",Amount=12),(ItemId=""Mortar"",Amount=4))",(),Construction,1.1,1
Construct_CopperDormitory,Construct_CopperDormitory,Construct Copper Dormitory,Construction,55,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=80),(ResourceId=""Wood"",Amount=50),(ItemId=""CopperPlate"",Amount=20),(ItemId=""Mortar"",Amount=20),(ResourceId=""EP"",Amount=110))",(),Construction,1.6,1.1
Construct_CopperWarehouse,Construct_CopperWarehouse,Construct Copper Warehouse,Construction,60,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=80),(ItemId=""CopperPlate"",Amount=30),(ItemId=""CopperLock"",Amount=2),(ResourceId=""EP"",Amount=120))",(),Construction,1.6,1.1
Construct_CopperDetentionRoom,Construct_CopperDetentionRoom,Construct Copper Detention Room,Construction,50,1,3,FALSE,Build,"((ResourceId=""Stone"",Amount=70),(ItemId=""CopperPlate"",Amount=20),(ItemId=""CopperLock"",Amount=2),(ItemId=""IronChain"",Amount=4),(ResourceId=""EP"",Amount=100))",(),Construction,1.5,1.1
Construct_Clinic,Construct_Clinic,Construct Clinic,Construction,40,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=50),(ResourceId=""Stone"",Amount=50),(ItemId=""CopperPlate"",Amount=10),(ItemId=""ClayJar"",Amount=6),(ResourceId=""EP"",Amount=90))",(),Construction,1.5,1.1
Construct_IronWorks,Construct_IronWorks,Construct Iron Works,Construction,80,1,4,FALSE,Build,"((ResourceId=""Iron_Attribute"",Amount=10),(ResourceId=""Stone"",Amount=100),(ItemId=""IronIngot"",Amount=30),(ResourceId=""Coal"",Amount=30),(ResourceId=""EP"",Amount=180))",(),Construction,1.8,1.15
Construct_CoalCokeOven,Construct_CoalCokeOven,Construct Coal Coke Oven,Construction,50,1,3,FALSE,Build,"((ResourceId=""Coal_Attribute"",Amount=10),(ResourceId=""Stone"",Amount=80),(ItemId=""IronPlate"",Amount=10),(ResourceId=""Coal"",Amount=20),(ResourceId=""EP"",Amount=100))",(),Construction,1.6,1.1
Construct_Furnace,Construct_Furnace,Construct Furnace,Construction,90,1,4,FALSE,Build,"((ResourceId=""Stone"",Amount=120),(ItemId=""IronPlate"",Amount=25),(ResourceId=""Coal"",Amount=40),(ResourceId=""EP"",Amount=180))",(),Construction,1.8,1.15
Construct_AdvancedWorkbench,Construct_AdvancedWorkbench,Construct Advanced Workbench,Construction,55,1,3,FALSE,Build,"((ResourceId=""Wood"",Amount=50),(ItemId=""IronPlate"",Amount=15),(ItemId=""IronGear"",Amount=5),(ResourceId=""EP"",Amount=120))",(),Construction,1.6,1.1
Construct_ReinforcedWarehouse,Construct_ReinforcedWarehouse,Construct Reinforced Warehouse,Construction,100,1,4,FALSE,Build,"((ResourceId=""Stone"",Amount=150),(ItemId=""SteelBeam"",Amount=20),(ItemId=""IronPlate"",Amount=35),(ResourceId=""EP"",Amount=220))",(),Construction,1.9,1.15
Construct_SteelWall,Construct_SteelWall,Construct Steel Wall,Construction,25,1,2,FALSE,Build,"((ResourceId=""Stone"",Amount=20),(ItemId=""SteelIngot"",Amount=10),(ItemId=""IronPlate"",Amount=6))",(),Construction,1.2,1
Construct_Prison,Construct_Prison,Construct Prison,Construction,90,1,4,FALSE,Build,"((ResourceId=""Stone"",Amount=120),(ItemId=""IronPlate"",Amount=30),(ItemId=""IronChain"",Amount=12),(ItemId=""CopperLock"",Amount=4),(ResourceId=""EP"",Amount=180))",(),Construction,1.8,1.15
Construct_Barracks,Construct_Barracks,Construct Barracks,Construction,70,1,4,FALSE,Build,"((ResourceId=""Wood"",Amount=70),(ResourceId=""Stone"",Amount=80),(ItemId=""SteelBeam"",Amount=10),(ItemId=""IronPlate"",Amount=20),(ResourceId=""EP"",Amount=150))",(),Construction,1.7,1.1
Construct_SteamGenerator,Construct_SteamGenerator,Construct Steam Generator,Construction,85,1,4,FALSE,Build,"((ResourceId=""Stone"",Amount=80),(ItemId=""IronPlate"",Amount=20),(ItemId=""IronGear"",Amount=10),(ResourceId=""Coal"",Amount=30),(ResourceId=""EP"",Amount=200))",(),Construction,1.8,1.15
Construct_OilExtractor,Construct_OilExtractor,Construct Oil Extractor,Construction,120,1,4,FALSE,Build,"((ResourceId=""Petroleum_Attribute"",Amount=10),(ItemId=""SteelBeam"",Amount=20),(ItemId=""IronPlate"",Amount=30),(ItemId=""PlastilPipe"",Amount=10),(ResourceId=""EP"",Amount=350))",(),Construction,2,1.2
Construct_Refinery,Construct_Refinery,Construct Refinery,Construction,150,1,5,FALSE,Build,"((ItemId=""SteelBeam"",Amount=30),(ItemId=""IronPlate"",Amount=40),(ItemId=""PlastilPipe"",Amount=25),(ResourceId=""Coal"",Amount=40),(ResourceId=""EP"",Amount=450))",(),Construction,2.1,1.2
Construct_Battery,Construct_Battery,Construct Battery Workshop,Construction,90,1,3,FALSE,Build,"((ItemId=""IronPlate"",Amount=15),(ItemId=""CopperWire"",Amount=25),(ItemId=""PlastilSheet"",Amount=15),(ItemId=""GoldIngot"",Amount=5),(ResourceId=""EP"",Amount=280))",(),Construction,1.8,1.15
Construct_AutomatedTurret,Construct_AutomatedTurret,Construct Automated Turret,Construction,70,1,3,FALSE,Build,"((ItemId=""SteelIngot"",Amount=15),(ItemId=""CopperWire"",Amount=15),(ItemId=""BatteryCell"",Amount=2),(ItemId=""PlastilSheet"",Amount=5),(ResourceId=""EP"",Amount=300))",(),Construction,1.7,1.1
Construct_CopperMine,Construct_CopperMine,Construct Copper Mine,Construction,55,1,3,FALSE,Build,"((ResourceId=""Copper_Attribute"",Amount=10),(ResourceId=""Wood"",Amount=75),(ResourceId=""Stone"",Amount=70),(ItemId=""CopperIngot"",Amount=6),(ResourceId=""EP"",Amount=100))",(),Construction,1.6,1.1
Construct_GoldMine,Construct_GoldMine,Construct Gold Mine,Construction,65,1,3,FALSE,Build,"((ResourceId=""Gold_Attribute"",Amount=10),(ResourceId=""Wood"",Amount=75),(ResourceId=""Stone"",Amount=90),(ItemId=""CopperIngot"",Amount=10),(ResourceId=""EP"",Amount=125))",(),Construction,1.7,1.12
Construct_IronMine,Construct_IronMine,Construct Iron Mine,Construction,80,1,4,FALSE,Build,"((ResourceId=""Iron_Attribute"",Amount=10),(ResourceId=""Wood"",Amount=75),(ResourceId=""Stone"",Amount=110),(ItemId=""CopperPlate"",Amount=15),(ResourceId=""EP"",Amount=160))",(),Construction,1.8,1.15
Construct_CoalMine,Construct_CoalMine,Construct Coal Mine,Construction,75,1,4,FALSE,Build,"((ResourceId=""Coal_Attribute"",Amount=10),(ResourceId=""Wood"",Amount=65),(ResourceId=""Stone"",Amount=100),(ItemId=""CopperPlate"",Amount=12),(ResourceId=""EP"",Amount=150))",(),Construction,1.75,1.15
